Attended,ID,Date,Event,
Yes,10388,4/16/04,Alumni Weekend 2004,
Yes,10388,4/1/04,"Hendrix Out to Lunch, Spring 2004",
Yes,10388,3/16/04,Tom Goodwin Professor of the Year Reception,
Yes,10388,3/23/02,Nashville Predators event 3-02,
Yes,10390,4/20/13,Alumni Weekend 2013 - Memorial Service,
Yes,10390,4/19/13,Alumni Weekend 2013,
Yes,10390,4/16/04,Alumni Weekend 2004,
Yes,10391,4/4/14,Alumni Weekend 2014,
Yes,10391,4/16/04,Alummni Weekend 04 - Friday Night Reunions,
Yes,10391,4/16/04,Alumni Weekend 2004,
Yes,10391,5/17/02,President Cloyd's Inauguration - Alumni Reps,
Yes,10391,11/7/01,Fayetteville Alumni Event 11-01,
Yes,10391,9/22/01,Board of Governors 9-01,
Yes,10391,8/3/01,Hendrix Night at the Travs 01,
Yes,10392,4/4/14,Alumni Weekend 2014,
Yes,10392,4/16/04,Alummni Weekend 04 - Friday Night Reunions,
Yes,10392,4/16/04,Alumni Weekend 2004,
Yes,10392,5/17/02,President Cloyd's Inauguration - Alumni Reps,
Yes,10392,11/7/01,Fayetteville Alumni Event 11-01,
Yes,10392,9/22/01,Board of Governors 9-01,
Yes,10392,8/3/01,Hendrix Night at the Travs 01,
Yes,10395,4/5/14,Alumni Weekend 2014 - Class of 1994 Party,
Yes,10395,8/11/11,Hendrix Night at the Travs 2011,
Yes,10395,6/25/10,Hendrix Night At The Travs 2010,
Yes,10395,8/7/09,Hendrix Night at the Travelers 2009,
Yes,10395,4/11/08,Alumni Weekend 2008,
Yes,10395,4/16/04,Alumni Weekend 2004,
Yes,10395,8/3/01,Hendrix Night at the Travs 01,
